Url,Title
/book/i-got-reincarnated-in-the-world-of-one-punch-man_24496761105688705,I got reincarnated in the world of One Punch Man
/book/a-foreigner's-chat-group_23396161906496705,A Foreigner's Chat Group
/book/the-holy-chronicles-of-baator_13700263506926405,The Holy Chronicles of Baator
/book/harry-potter-the-mutant-obscurus-gamer_18069446506286105,Harry Potter The Mutant Obscurus Gamer
/book/the-archon-of-danmachi_18189223305627505,The Archon of Danmachi
/book/avatar-the-last-airbender-cold-paths_18359936606504505,Avatar The Last Airbender: Cold Paths
/book/my-upgrades-are-invincible-old-betrayed-forgotten-dead_21705260805097805,My Upgrades Are Invincible Old/Betrayed/Forgotten/Dead
/book/multiverse-systems-demonic-resurrection-in-the-primordial-tower_22533260206121005,Multiverse Systems: Demonic Resurrection in the Primordial Tower
/book/pokemon-jordinio-version_19585635005690505,Pokemon: Jordinio Version
/book/bringing-the-game-items-to-real-world_24693997305491605,Bringing the game items to real world
/book/cyberpunk-edgerunners-nanites-son!_24449939506801805,Cyberpunk Edgerunners: Nanites SON!
/book/spiderman-with-ultimate-login-system_25035858105639105,Spiderman with Ultimate login System
/book/source-a-multiverse-travel_22262581605198805,SOURCE : A MULTIVERSE TRAVEL
/book/is-it-wrong-that-i-woke-up-in-danmachi-as-the-main-character_24187429506894205,Is it Wrong that I Woke Up in Danmachi as the Main Character?
/book/reborn-in-twilight-as-a-werebear_24555997806237305,Reborn in Twilight as a Werebear
/book/in-naruto-with-slightly-perverted-system_20017867805463705,In Naruto with Slightly Perverted System
/book/pokemon-aura-of-darkness_23902402906430505,Pokemon : Aura of Darkness
/book/kisame_25105777005883505,Kisame
/book/dragonball-super-raditz_25018555105558805,Dragonball : Super Raditz
/book/reincarnated-as-poseidon-in-gow_25002829305522005,Reincarnated as Poseidon in GOW
/book/supernatural-download-scale_25196101806414705,Supernatural: Download Scale
/book/in-mha-with-star-platinum_18852695406457005,In MHA with Star Platinum
/book/tower-of-infinity-worlds-i-can-save-in-minecraft_25591747506615305,Tower of infinity worlds: I can save in Minecraft
/book/genshin-impact-another-life_24028412105346605,Genshin Impact: Another Life
/book/spatial-luck_25083244305807505,Spatial Luck
/book/unscientific-asgardian-of-marvel_25380945506053505,Unscientific Asgardian of Marvel
/book/a-bend-in-time_14576125306898605,A Bend in Time
/book/bleach-swordsman-of-kusajishi_20454384605440205,Bleach Swordsman of Kusajishi
/book/dimensional-group-chat-as-the-sorcerer-supreme-(a-non-harem-fan-fic.)_22893683606008705,Dimensional Group Chat as the Sorcerer Supreme (A Non-Harem Fan-Fic.)
/book/supreme-general-reborn-in-dxd-with-one-wish.(verse)_22678627206967505,Supreme General Reborn In Dxd With One Wish.(Verse)
/book/god's-adventures-in-the-world-of-anime_25061922106014805,God's Adventures In The World Of Anime
/book/rebirth-in-bleach_13097341506731205,Rebirth in Bleach
/book/reincarnated-as-a-dragon-egg-in-dxd-with-a-fate-system!_15693570606776305,Reincarnated as a dragon egg in DxD with a Fate System!
/book/marvel-outer-gods-(cthulhu)-eng_25605029506648105,Marvel outer gods (Cthulhu) ENG
/book/harry-potter-system-in-douluo-dalu_25402432005825805,Harry Potter system in Douluo Dalu
/book/in-hotd-with-the-satou-system_21308783505906005,In HOTD with The Satou System
/book/marvel-dc-bastard-hero-%5Ben%5D_23245038605499605,Marvel Dc: Bastard Hero [EN]
/book/pokemon-aichi-sendou_25227883905255805,Pokemon: Aichi Sendou
/book/game-of-thrones-a-reign-of-blood!_24781009205831905,GAME OF THRONES: A REIGN OF BLOOD!
/book/in-marvel-as-ultimate-skill-raphael_23147262505148405,In Marvel as Ultimate Skill Raphael
/book/just-another-isekai-story-in-fairy-tail-world_23438316105448605,Just Another Isekai Story in Fairy Tail World
/book/lightning-human-in-mha_23994736505082205,Lightning Human in MHA
/book/naruto-dream-to-immortality-(completed)_14620893006043905,Naruto: Dream to Immortality (COMPLETED)
/book/wandering-in-omniverse_20908164006175205,Wandering in Omniverse
/book/loner-in-danmachi_25071079805768905,Loner in Danmachi
/book/light-human-in-mha_18807906905096405,Light Human In MHA
/book/my-researching-journey-(hxh)_20564440605501805,My Researching Journey (HxH)
/book/the-last-blood-elf-(completed)_19045709806205905,The Last Blood Elf (Completed)
/book/in-mha-with-madara%E2%80%99s-powers_16729740906140605,In MHA With Madara’s powers
/book/the-multiverse-conqueror_15521072706846105,The Multiverse Conqueror
/book/resident-evil-eddie-%5Ben%5D_22546173605953305,Resident Evil: Eddie [EN]
/book/traveler's-traveling-companion_24838938506205005,Traveler's Traveling Companion
/book/abyssal-phoenix---multiverse_23780732606371805,Abyssal Phoenix - Multiverse
/book/another-magi-in-young-justice_20755962705468305,Another Magi in Young Justice
/book/marvel-breezing-through-history-as-an-eternal_21762690106867405,Marvel: Breezing Through History as an Eternal
/book/marvel-mr.-president-%5Bcomplete%5D_21293712305864005,Marvel: Mr. President [COMPLETE]
/book/badass-peter-parker_25063625706020305,Badass Peter Parker
/book/the-breaking-of-fate-%5Bhigh-quality%5D_24375756705993405,The Breaking of Fate [High Quality]
/book/soul-evolution-system_14622201406047605,Soul Evolution System
/book/a-space-whale-in-the-monsterverse-(au)_23658043206283005,A Space Whale in the MonsterVerse (AU)
/book/dou-po-start-from-signing-in-to-different-fire_25552509406496705,Dou Po: Start from Signing in to Different Fire
/book/one-piece-path-to-power_19431890105305705,One Piece: Path to Power
/book/naruto-the-godlike-hokage-multiverse_21054183105023605,Naruto: The GodLike Hokage + Multiverse
/book/harry-potter-and-the-lightning-lord_24617898706464405,Harry Potter and the Lightning Lord
/book/one-piece-celestial-rose_24640960905284805,One piece : Celestial Rose
/book/i'm-gohan!_23475055205777505,I'm Gohan!
/book/behind-the-scenes-in-naruto-world_21349947606251405,Behind the Scenes in Naruto World
/book/fairy-tail-the-dragon's-sin_18944329205664105,Fairy Tail: The Dragon's Sin
/book/my-hollywood-system_22265627605207205,My Hollywood System
/book/harry-potter-red-weasley-the-strange-red-wizard_22955620305214705,Harry Potter: Red Weasley The Strange Red Wizard
/book/welcome-to-the-multiverse-chat-group!_22589746505270505,Welcome to the Multiverse Chat Group!
/book/anime-multiverse-dimensional-chat-group_20848185005414305,Anime Multiverse Dimensional Chat Group
/book/i-am-rimuru-tempest_20983055605508205,I am Rimuru Tempest
/book/harry-potter-and-the-tragic-path_19734319605086005,Harry Potter and the Tragic Path
/book/in-this-corner-of-the-multiverse_21852699605970205,In This Corner Of The Multiverse
/book/take-eldritch-surveys!-noted!_25035724005637705,Take Eldritch surveys! Noted!
/book/shinobi-exam-broadcasting-the-future!-%5Bcompleted%5D_20814134505025305,Shinobi Exam: Broadcasting The Future! [Completed]
/book/paradise-of-infinity_20875217105722405,Paradise of Infinity
/book/fate-mercenary-a-travel-across-the-omniverse._23529925705127205,Fate/Mercenary: A travel across the omniverse.
/book/avatar-awakened-gamer_21625940106092205,Avatar: Awakened Gamer
/book/no-otaku-with-harem-system-(english-version)_19686642706085505,No Otaku with Harem System (English Version)
